ID	H	E	C
Seq_1565018	48.333333333333336	11.666666666666666	40.0
Seq_1671835	16.80672268907563	4.201680672268908	78.99159663865547
Seq_1758023	13.924050632911392	37.34177215189873	48.734177215189874
Seq_212964	35.483870967741936	17.741935483870968	46.774193548387096
Seq_219206	4.597701149425287	17.24137931034483	78.16091954022988
Seq_8858	70.45454545454545	2.272727272727273	27.27272727272727
Seq_2118591	45.45454545454545	7.792207792207792	46.75324675324675
Seq_1650630	72.22222222222221	0.0	27.77777777777778
Seq_2297901	66.93548387096774	1.6129032258064515	31.451612903225808
Seq_1808045	37.11340206185567	28.865979381443296	34.02061855670103
Seq_424924	9.090909090909092	42.857142857142854	48.05194805194805
Seq_1641494	75.55555555555556	0.0	24.444444444444443
Seq_728119	68.22429906542055	0.0	31.775700934579437
Seq_1695621	37.5	24.107142857142858	38.392857142857146
Seq_529296	26.190476190476193	26.190476190476193	47.61904761904761
Seq_1785045	68.35443037974683	0.0	31.645569620253166
Seq_1325721	49.6	16.0	34.4
Seq_1527560	47.794117647058826	19.852941176470587	32.35294117647059
Seq_1325728	50.40650406504065	16.260162601626014	33.33333333333333
Seq_2356653	65.2542372881356	13.559322033898304	21.1864406779661
Seq_1259802	58.51063829787234	11.702127659574469	29.78723404255319
Seq_1669156	44.66019417475729	11.650485436893204	43.689320388349515
Seq_1259804	62.76595744680851	11.702127659574469	25.53191489361702
Seq_1773951	14.285714285714285	27.27272727272727	58.44155844155844
Seq_671373	9.278350515463918	8.24742268041237	82.4742268041237
Seq_758381	0.0	52.71317829457365	47.286821705426355
Seq_2205554	0.0	51.85185185185185	48.148148148148145
Seq_304398	25.663716814159294	7.079646017699115	67.2566371681416
Seq_1008179	27.941176470588236	14.705882352941178	57.35294117647059
Seq_1570217	0.0	0.0	100.0
Seq_2056828	10.869565217391305	33.69565217391305	55.434782608695656
Seq_470750	49.504950495049506	12.871287128712872	37.62376237623762
Seq_17250	73.46938775510205	0.0	26.53061224489796
Seq_1043272	39.24050632911392	0.0	60.75949367088608
Seq_1090742	49.29577464788733	19.718309859154928	30.985915492957744
Seq_1606001	0.0	59.77011494252874	40.229885057471265
Seq_504658	13.095238095238097	40.476190476190474	46.42857142857143
Seq_2279878	67.0103092783505	0.0	32.98969072164948
Seq_1499725	42.675159235668794	11.464968152866243	45.85987261146497
Seq_196079	29.48717948717949	29.48717948717949	41.02564102564102
Seq_1839325	73.79310344827587	0.0	26.20689655172414
Seq_1817695	48.36065573770492	22.131147540983605	29.508196721311474
Seq_166220	25.40983606557377	21.311475409836063	53.278688524590166
Seq_1903873	33.07692307692307	16.153846153846153	50.76923076923077
Seq_2027416	42.857142857142854	12.698412698412698	44.44444444444444
Seq_1789593	27.27272727272727	15.151515151515152	57.57575757575758
Seq_969752	4.3478260869565215	60.86956521739131	34.78260869565217
Seq_209846	14.492753623188406	36.231884057971016	49.275362318840585
Seq_1687422	45.87155963302752	2.7522935779816518	51.37614678899083
Seq_172686	50.35971223021583	0.0	49.64028776978417
Seq_1639500	37.362637362637365	18.681318681318682	43.956043956043956
Seq_1931398	29.166666666666668	23.958333333333336	46.875
Seq_1316889	27.380952380952383	23.809523809523807	48.80952380952381
Seq_2310812	64.13043478260869	0.0	35.869565217391305
Seq_912592	32.29166666666667	34.375	33.33333333333333
Seq_570636	37.9746835443038	24.050632911392405	37.9746835443038
Seq_482301	38.2716049382716	0.0	61.72839506172839
Seq_379691	52.63157894736842	6.015037593984962	41.35338345864661
Seq_1817527	35.91549295774648	22.535211267605636	41.54929577464789
Seq_699228	0.0	31.683168316831683	68.31683168316832
Seq_699226	0.0	25.757575757575758	74.24242424242425
Seq_1523875	18.96551724137931	29.310344827586203	51.724137931034484
Seq_2057803	24.096385542168676	36.144578313253014	39.75903614457831
Seq_804341	31.16883116883117	29.87012987012987	38.961038961038966
Seq_376340	22.22222222222222	16.049382716049383	61.72839506172839
Seq_376615	49.35064935064935	10.38961038961039	40.25974025974026
Seq_376345	18.367346938775512	17.346938775510203	64.28571428571429
Seq_804346	24.8062015503876	33.33333333333333	41.86046511627907
Seq_71219	3.225806451612903	46.236559139784944	50.53763440860215
Seq_2448399	0.0	5.797101449275362	94.20289855072464
Seq_708131	41.30434782608695	32.608695652173914	26.08695652173913
Seq_950605	0.0	0.0	100.0
Seq_2448391	50.0	10.0	40.0
Seq_113775	42.10526315789473	0.0	57.89473684210527
Seq_795340	66.66666666666666	0.0	33.33333333333333
Seq_113770	44.44444444444444	3.0303030303030303	52.52525252525253
Seq_2259171	39.85507246376812	9.420289855072465	50.72463768115942
Seq_1626323	17.96875	7.8125	74.21875
Seq_559531	10.126582278481013	48.10126582278481	41.77215189873418
Seq_1788970	55.319148936170215	0.0	44.680851063829785
Seq_2071720	36.11111111111111	22.22222222222222	41.66666666666667
Seq_1081008	19.19191919191919	28.28282828282828	52.52525252525253
Seq_559535	11.11111111111111	45.55555555555556	43.333333333333336
Seq_1791245	58.536585365853654	11.38211382113821	30.081300813008134
Seq_1791241	59.523809523809526	11.11111111111111	29.365079365079367
Seq_2127981	41.66666666666667	4.166666666666666	54.166666666666664
Seq_1021912	6.422018348623854	17.431192660550458	76.14678899082568
