ID	H	E	C
Seq_2226635	0.0	30.909090909090907	69.0909090909091
Seq_2209833	60.0	12.5	27.500000000000004
Seq_2376386	64.28571428571429	1.7857142857142856	33.92857142857143
Seq_772923	12.82051282051282	30.76923076923077	56.41025641025641
Seq_2047194	0.0	0.0	100.0
Seq_659341	51.35135135135135	16.216216216216218	32.432432432432435
Seq_2297865	23.943661971830984	35.2112676056338	40.845070422535215
Seq_2252662	20.33898305084746	33.89830508474576	45.76271186440678
Seq_990865	12.068965517241379	1.7241379310344827	86.20689655172413
Seq_1501850	65.51724137931035	12.068965517241379	22.413793103448278
Seq_376318	19.696969696969695	4.545454545454546	75.75757575757575
Seq_1827415	7.6923076923076925	43.269230769230774	49.03846153846153
Seq_2068485	42.857142857142854	10.204081632653061	46.93877551020408
Seq_2023422	75.0	1.7857142857142856	23.214285714285715
Seq_1309319	0.0	28.947368421052634	71.05263157894737
Seq_757340	0.0	50.0	50.0
Seq_311660	0.0	14.285714285714285	85.71428571428571
Seq_2399008	42.168674698795186	19.27710843373494	38.55421686746988
Seq_116272	40.0	15.0	45.0
Seq_1211908	54.347826086956516	0.0	45.65217391304348
Seq_1738295	27.27272727272727	3.6363636363636362	69.0909090909091
Seq_2048596	53.333333333333336	11.666666666666666	35.0
Seq_143574	60.57692307692307	0.0	39.42307692307692
Seq_1094873	1.5384615384615385	33.84615384615385	64.61538461538461
Seq_911673	22.22222222222222	15.555555555555555	62.22222222222222
Seq_1359796	11.538461538461538	0.0	88.46153846153845
Seq_1934125	23.076923076923077	38.46153846153847	38.46153846153847
Seq_1019484	10.638297872340425	53.191489361702125	36.17021276595745
Seq_45631	0.0	51.02040816326531	48.97959183673469
Seq_707646	44.71544715447154	20.32520325203252	34.959349593495936
Seq_890499	41.66666666666667	15.0	43.333333333333336
Seq_783789	19.35483870967742	27.419354838709676	53.2258064516129
Seq_2199724	9.75609756097561	19.51219512195122	70.73170731707317
Seq_662057	0.0	0.0	100.0
Seq_2074268	28.000000000000004	2.666666666666667	69.33333333333334
Seq_40215	44.89795918367347	16.3265306122449	38.775510204081634
Seq_1397348	10.576923076923077	38.46153846153847	50.96153846153846
Seq_2244305	46.913580246913575	14.814814814814813	38.2716049382716
Seq_686000	30.88235294117647	23.52941176470588	45.588235294117645
Seq_1986094	32.758620689655174	0.0	67.24137931034483
Seq_370622	0.0	0.0	100.0
Seq_314760	54.385964912280706	8.771929824561402	36.84210526315789
Seq_2215127	69.72477064220183	0.9174311926605505	29.357798165137616
Seq_2346242	55.0561797752809	12.359550561797752	32.58426966292135
Seq_1089120	24.444444444444443	40.0	35.55555555555556
Seq_1657664	36.95652173913043	7.608695652173914	55.434782608695656
Seq_418417	27.659574468085108	17.02127659574468	55.319148936170215
Seq_540877	19.444444444444446	16.666666666666664	63.888888888888886
Seq_2343362	0.0	50.72463768115942	49.275362318840585
Seq_1700166	0.0	0.0	100.0
Seq_1304607	5.05050505050505	14.14141414141414	80.8080808080808
Seq_1626329	44.44444444444444	6.666666666666667	48.888888888888886
Seq_519540	30.952380952380953	35.714285714285715	33.33333333333333
Seq_2203437	6.557377049180328	27.86885245901639	65.57377049180327
Seq_1303149	71.15384615384616	0.0	28.846153846153843
Seq_862615	20.454545454545457	45.45454545454545	34.090909090909086
Seq_1623326	72.44897959183673	3.061224489795918	24.489795918367346
Seq_174414	55.38461538461539	9.230769230769232	35.38461538461539
Seq_1702671	13.513513513513514	45.94594594594595	40.54054054054054
Seq_1406694	43.87755102040816	20.408163265306122	35.714285714285715
Seq_304238	16.363636363636363	41.81818181818181	41.81818181818181
Seq_355236	86.8421052631579	2.631578947368421	10.526315789473683
Seq_1877506	25.757575757575758	27.27272727272727	46.96969696969697
Seq_1340414	8.823529411764707	41.17647058823529	50.0
Seq_174418	62.96296296296296	8.641975308641975	28.39506172839506
Seq_1397397	0.0	51.515151515151516	48.484848484848484
Seq_1118895	49.23076923076923	0.0	50.76923076923077
Seq_1541727	50.0	12.068965517241379	37.93103448275862
Seq_19323	71.42857142857143	0.0	28.57142857142857
Seq_766530	43.75	12.5	43.75
Seq_2158256	55.172413793103445	0.0	44.827586206896555
Seq_196062	36.84210526315789	28.07017543859649	35.08771929824561
Seq_758384	0.0	55.55555555555556	44.44444444444444
Seq_1166969	83.65384615384616	0.0	16.346153846153847
Seq_361477	1.834862385321101	0.0	98.1651376146789
Seq_1021819	5.194805194805195	6.493506493506493	88.31168831168831
Seq_99147	41.77215189873418	20.253164556962027	37.9746835443038
Seq_672312	26.190476190476193	40.476190476190474	33.33333333333333
Seq_360060	21.311475409836063	29.508196721311474	49.18032786885246
Seq_625126	23.28767123287671	0.0	76.71232876712328
Seq_2315300	47.5	17.5	35.0
Seq_2375381	50.0	9.615384615384617	40.38461538461539
Seq_371332	0.0	0.0	100.0
Seq_1316897	29.347826086956523	13.043478260869565	57.608695652173914
Seq_526282	58.22784810126582	11.39240506329114	30.37974683544304
Seq_342263	87.32394366197182	0.0	12.676056338028168
Seq_1265495	0.0	25.0	75.0
Seq_1827175	34.78260869565217	14.492753623188406	50.72463768115942
